word,code
tint,__tInt____
beef,__bif_____
chrome,_krom_____
binge,__bInJ____
beek,__bik_____
three,_Tri______
been,__bIn_____
beep,__bip_____
beer,__bir_____
much,__m^C_____
beet,__bit_____
fry,_frA______
slat,_sl@t_____
threw,_Tru______
dots,__dats____
life,__lAf_____
loft,__laft____
spit,_spIt_____
drugs,_dr^gz____
chum,__C^m_____
joust,__JWst____
lift,__lIft____
hoist,__hOst____
child,__CAld____
catch,__k@tC____
spin,_spIn_____
chill,__CIl_____
dash,__d@S_____
east,___ist____
tank,__t@nk____
sly,_slA______
tang,__t@ng____
air,___Er_____
aim,___em_____
ail,___el_____
near,__nir_____
slam,_sl@m_____
neat,__nit_____
thrash,_Tr@S_____
aid,___ed_____
gave,__gev_____
souse,__sWs_____
cane,__ken_____
broth,_braT_____
sting,_stIng____
shame,__Sem_____
cant,__k@nt____
brake,_brek_____
cone,__kon_____
jest,__JEst____
mouse,__mWs_____
stint,_stInt____
hone,__hon_____
growl,_grWl_____
belle,__bEl_____
make,__mek_____
wound,__wund____
split,splIt_____
hank,__h@nk____
moose,__mus_____
raid,__red_____
fuss,__f^s_____
nil,__nIl_____
swell,_swEl_____
hang,__h@ng____
rain,__ren_____
kit,__kIt_____
nix,__nIks____
fuse,__fYz_____
kin,__kIn_____
nip,__nIp_____
tune,__tun_____
kid,__kId_____
hearth,__harT____
kept,__kEpt____
romp,__ramp____
drip,_drIp_____
the,__D^______
rout,__rWt_____
left,__lEft____
kale,__kel_____
just,__J^st____
sauce,__sas_____
yea,__ye______
bruise,_bruz_____
cape,__kep_____
plight,_plAt_____
yet,__yEt_____
elk,___Elk____
nudge,__n^J_____
ham,__h@m_____
elm,___Elm____
thy,__DA______
ease,___iz_____
had,__h@d_____
hag,__h@g_____
hay,__he______
shout,__SWt_____
spread,sprEd_____
kelp,__kElp____
board,__bord____
has,__h@z_____
hat,__h@t_____
haw,__ha______
quirk,_kw^rk____
barge,__barJ____
judge,__J^J_____
dreamt,_drEmt____
roach,__roC_____
burnt,__b^rnt___
gift,__gIft____
zeal,__zil_____
nude,__nud_____
hunt,__h^nt____
soap,__sop_____
hunk,__h^nk____
sparse,_spars____
night,__nAt_____
hung,__h^ng____
right,__rAt_____
dean,__din_____
creek,_krik_____
crowd,_krWd_____
creed,_krid_____
crown,_krWn_____
dead,__dEd_____
sponge,_sp^nJ____
born,__born____
rile,__rAl_____
sure,__S^r_____
dear,__dir_____
prick,_prIk_____
bore,__bor_____
creep,_krip_____
sprawl,spral_____
dense,__dEns____
trace,_tres_____
for,__for_____
eel,___il_____
fox,__faks____
ice,___As_____
foe,__fo______
squeeze,skwiz_____
fog,__fag_____
trite,_trAt_____
cord,__kord____
core,__kor_____
bold,__bold____
peel,__pil_____
burl,__b^rl____
corn,__korn____
brawn,_bran_____
cork,__kork____
yoke,__yok_____
bolt,__bolt____
burr,__b^r_____
peer,__pir_____
peep,__pip_____
shuck,__S^k_____
chafe,__Cef_____
plum,_pl^m_____
choke,__Cok_____
blithe,_blAT_____
plus,_pl^s_____
twitch,_twItC____
croak,_krok_____
duke,__duk_____
gauze,__gaz_____
froze,_froz_____
sock,__sak_____
float,_flot_____
lien,__lin_____
bound,__bWnd____
fern,__f^rn____
down,__dWn_____
sop,__sap_____
loin,__lOn_____
sow,__so______
soy,__sO______
chime,__CAm_____
lewd,__lud_____
ole,___ol_____
wan,__wan_____
yawn,__yan_____
git,__gIt_____
deal,__dil_____
wag,__w@g_____
wad,__wad_____
frill,_frIl_____
fight,__fAt_____
gig,__gIg_____
stuck,_st^k_____
fought,__fat_____
way,__we______
spring,sprIng____
gin,__JIn_____
tamp,__t@mp____
was,__w^z_____
war,__wor_____
fork,__fork____
starve,_starv____
head,__hEd_____
form,__form____
deaf,__dEf_____
heal,__hil_____
spike,_spAk_____
fore,__for_____
ford,__ford____
heat,__hit_____
hear,__hir_____
heap,__hip_____
beech,__biC_____
true,_tru______
fort,__fort____
duel,__dul_____
slope,_slop_____
spun,_sp^n_____
prowl,_prWl_____
pest,__pEst____
lays,__lez_____
scream,skrim_____
bide,__bAd_____
latch,__l@tC____
dare,__dEr_____
trim,_trIm_____
shin,__SIn_____
shim,__SIm_____
toss,__tas_____
trig,_trIg_____
sale,__sel_____
soothe,__suD_____
gland,_gl@nd____
moll,__mal_____
ship,__SIp_____
face,__fes_____
mold,__mold____
check,__CEk_____
shit,__SIt_____
graft,_gr@ft____
smelt,_smElt____
floor,_flor_____
stake,_stek_____
tip,__tIp_____
flood,_fl^d_____
tin,__tIn_____
shrine,_SrAn_____
role,__rol_____
test,__tEst____
tie,__tA______
smell,_smEl_____
roll,__rol_____
node,__nod_____
tame,__tem_____
sling,_slIng____
toad,__tod_____
why,__wA______
felt,__fElt____
twain,_twen_____
fell,__fEl_____
reign,__ren_____
troupe,_trup_____
spy,_spA______
warn,__worn____
