,source,word,freq_lcnl,aoa_mean,aoa_sd,tasa_1,tasa_2,tasa_3
3773,3k,know,257,4.5,2.12,2010,1924,1730
4646,3k,noise,49,4.5,2.2,213,157,111
7963,3k,use,38,4.5,1.82,436,474,666
8392,3k,wolf,43,4.5,1.79,247,81,39
2269,3k,five,59,4.50594,1.36,168,226,224
8571,lcnl,yours,9,4.50594,2.12,48,60,48
2555,3k,frown,3,4.52,1.69,8,11,9
319,3k,bib,1,4.53,4.25,,,
773,3k,bull,15,4.53,2.29,25,15,22
1722,3k,die,10,4.53,1.78,44,93,62
3953,3k,let,119,4.53,2.09,919,662,613
4981,3k,pin,8,4.53,1.39,22,10,15
5613,3k,ring,29,4.53,1.87,102,90,76
7289,3k,sweet,45,4.53,2.46,35,63,64
8083,3k,wag,1,4.53,1.9,3,3,1
4111,3k,loud,42,4.537911,1.51,123,140,108
4719,lcnl,of,2203,4.548568,2.36,8779,11938,17271
5118,3k,point,12,4.55,1.61,34,79,100
5634,3k,road,47,4.55,2.44,250,279,249
54,3k,and,6832,4.569882,1.94,17513,19697,24657
1326,3k,cool,14,4.58,2.32,60,93,113
2262,3k,fist,1,4.58,1.64,4,18,16
3254,3k,high,91,4.58,2.24,243,344,407
3724,3k,kite,10,4.58,1.64,127,32,25
4528,3k,must,148,4.58,2.36,818,792,834
6009,3k,seat,16,4.58,1.92,99,109,95
7126,3k,street,74,4.58,2.48,563,369,284
7164,3k,strong,32,4.58,1.87,130,158,191
7513,3k,thing,162,4.58,1.61,640,585,607
8403,3k,wood,31,4.58,2.04,137,128,128
4494,3k,much,138,4.580539,1.24,698,820,975
7519,3k,third,18,4.580539,1.93,53,98,105
3890,3k,leaf,11,4.6,2.37,30,30,24
817,3k,but,1097,4.601853,2.45,5172,4711,5113
4756,unl,ours,2,4.601853,2.05,8,14,14
4772,lcnl,pa,47,4.601853,2.82,30,73,91
915,3k,catch,53,4.61,2.07,187,192,146
1355,3k,corn,24,4.61,2.64,42,85,84
3818,3k,lake,5,4.61,1.72,202,129,112
5736,3k,rug,8,4.61,1.61,32,34,22
7778,3k,treat,8,4.61,2.03,6,19,18
8568,3k,young,44,4.61,1.5,157,297,401
292,3k,belt,,4.62,2.09,38,33,31
4268,3k,mat,16,4.62,2.22,27,13,9
4486,3k,move,33,4.62,1.75,392,382,381
7651,lcnl,tired,77,4.62,2.58,225,208,163
1051,lcnl,chirp,2,4.63,1.71,,,
