,Unnamed: 0,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score
1753,2399,3k,fluff,4,1.386294361,8.487546753,4.85,1.57,1.94,10,0,2,TRUE,TRUE,TRUE,6.183773377
1559,3408,3k,hum,8,2.079441542,7.73132013,5.795437,2.24,2.3181748,17,8,7,TRUE,TRUE,TRUE,6.183834865
1468,2091,3k,fact,13,2.564949357,7.201628967,6.47,2.78,2.588,32,82,120,TRUE,TRUE,TRUE,6.188814484
1700,7875,3k,tug,5,1.609437912,8.244096157,5.17,2.2,2.068,13,9,7,TRUE,TRUE,TRUE,6.190048079
1414,3888,3k,lead,16,2.772588722,6.975093507,6.76,3.42,2.704,9,40,58,TRUE,TRUE,TRUE,6.191546754
1591,4507,3k,mule,7,1.945910149,7.877003467,5.65,1.66,2.26,41,8,10,TRUE,TRUE,TRUE,6.198501734
1762,447,3k,blood,4,1.386294361,8.487546753,4.89,1.64,1.956,34,63,75,TRUE,TRUE,TRUE,6.199773377
1707,3595,3k,joke,5,1.609437912,8.244096157,5.2,1.88,2.08,31,34,28,TRUE,TRUE,TRUE,6.202048079
1563,8196,lcnl,weeds,8,2.079441542,7.73132013,5.85,2.35,2.34,48,22,12,TRUE,TRUE,TRUE,6.205660065
1836,2555,3k,frown,3,1.098612289,8.80140916,4.52,1.69,1.808,8,11,9,TRUE,TRUE,TRUE,6.20870458
1454,854,3k,calf,14,2.63905733,7.120776844,6.63,1.5,2.652,9,12,12,TRUE,TRUE,TRUE,6.212388422
1599,3310,3k,hog,7,1.945910149,7.877003467,5.7,2.27,2.28,7,1,2,TRUE,TRUE,TRUE,6.218501734
1440,3615,3k,joy,15,2.708050201,7.045505317,6.74,2.92,2.696,25,32,34,TRUE,TRUE,TRUE,6.218752659
1416,1178,3k,click,17,2.833213344,6.908951778,6.94,2.6,2.776,39,7,11,TRUE,TRUE,TRUE,6.230475889
1302,395,3k,blaze,25,3.218875825,6.488192314,7.47,2.37,2.988,0,1,4,TRUE,TRUE,TRUE,6.232096157
1718,8515,3k,yawn,5,1.609437912,8.244096157,5.3,1.81,2.12,7,3,2,TRUE,TRUE,TRUE,6.242048079
1623,3000,3k,growl,7,1.945910149,7.877003467,5.79,1.87,2.316,2,6,5,TRUE,TRUE,TRUE,6.254501734
1525,9,3k,act,11,2.397895273,7.383885708,6.42,2.22,2.568,27,67,67,TRUE,TRUE,TRUE,6.259942854
1941,7719,3k,toss,2,0.693147181,9.243773377,4.11,1.45,1.644,9,4,9,TRUE,TRUE,TRUE,6.265886689
1856,801,lcnl,burp,3,1.098612289,8.80140916,4.67,1.88,1.868,#N/A,#N/A,#N/A,TRUE,TRUE,TRUE,6.26870458
1551,5581,3k,rich,10,2.302585093,7.487869534,6.32,2.14,2.528,51,112,98,TRUE,TRUE,TRUE,6.271934767
1859,343,3k,bin,3,1.098612289,8.80140916,4.68,2.67,1.872,1,5,4,TRUE,TRUE,TRUE,6.27270458
1641,6893,3k,squeak,7,1.945910149,7.877003467,5.84,1.8,2.336,6,9,13,TRUE,TRUE,TRUE,6.274501734
1642,7384,lcnl,tap,7,1.945910149,7.877003467,5.84,2.87,2.336,72,31,10,TRUE,TRUE,TRUE,6.274501734
1687,2120,3k,fan,6,1.791759469,8.045182537,5.63,2.54,2.252,11,4,9,TRUE,TRUE,TRUE,6.274591269
1730,3549,3k,jet,5,1.609437912,8.244096157,5.39,2.52,2.156,27,13,10,TRUE,TRUE,TRUE,6.278048079
1790,674,3k,bride,4,1.386294361,8.487546753,5.1,1.55,2.04,0,1,4,TRUE,TRUE,TRUE,6.283773377
1564,5703,3k,rough,9,2.197224577,7.60281832,6.21,2.3,2.484,5,37,37,TRUE,TRUE,TRUE,6.28540916
1595,6060,3k,sew,8,2.079441542,7.73132013,6.05,2.68,2.42,11,11,5,TRUE,TRUE,TRUE,6.285660065
1457,313,3k,bet,16,2.772588722,6.975093507,7,2.43,2.8,99,75,44,TRUE,TRUE,TRUE,6.287546754
1798,4910,3k,pen,4,1.386294361,8.487546753,5.11,1.29,2.044,90,31,32,TRUE,TRUE,TRUE,6.287773377
1742,6899,3k,squeeze,5,1.609437912,8.244096157,5.42,2.17,2.168,7,8,9,TRUE,TRUE,TRUE,6.290048079
1441,825,3k,buzz,17,2.833213344,6.908951778,7.095591,2.54,2.8382364,3,10,7,TRUE,TRUE,TRUE,6.292712289
1578,6793,3k,split,9,2.197224577,7.60281832,6.25,2.36,2.5,11,19,21,TRUE,TRUE,TRUE,6.30140916
1751,7326,3k,sword,5,1.609437912,8.244096157,5.45,1.43,2.18,0,10,19,TRUE,TRUE,TRUE,6.302048079
1473,6036,3k,sell,16,2.772588722,6.975093507,7.05,2.53,2.82,80,91,86,TRUE,TRUE,TRUE,6.307546754
1424,2863,3k,grace,19,2.944438979,6.78760412,7.287417,2.87,2.9149668,1,7,15,TRUE,TRUE,TRUE,6.30876886
1754,5573,3k,rhyme,5,1.609437912,8.244096157,5.47,1.98,2.188,1,2,3,TRUE,TRUE,TRUE,6.310048079
