,Unnamed: 0,word,source,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Word,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score,score_extended
2285,2503,have,3k,638.0,2.8055008581584002,1.1752295183775452,3.72,1.96,1.4880000000000002,4736.0,3798.0,4251.0,have,6161.411764705882,638.0,2.8055008581584002,1.1752295183775452,7.833303314321409,7.833303314321409
2591,2834,what,3k,679.0,2.832508912706236,1.1482214638297092,3.855863,1.37,1.5423452,4928.0,3885.0,3879.0,#N/A,#N/A,679.0,2.832508912706236,1.1482214638297092,7.874638123403981,7.874638123403981
2572,2814,but,3k,1097.0,3.040602340114073,0.9401280364218721,4.601853000000001,2.45,1.8407412000000003,5172.0,4711.0,5113.0,but,4417.470588235294,1097.0,3.040602340114073,0.9401280364218723,7.8923011274765535,7.8923011274765535
1702,1869,see,3k,382.0,2.583198773968623,1.3975316025673226,3.06,1.43,1.224,3548.0,2167.0,2099.0,see,2556.725490196078,382.0,2.583198773968623,1.3975316025673226,7.951360608985629,7.951360608985629
2499,2733,like,3k,572.0,2.75815462196739,1.2225757545685556,3.685351,1.89,1.4741403999999998,3487.0,2649.0,2660.0,like,3998.9607843137255,572.0,2.75815462196739,1.2225757545685556,7.964366140989944,7.964366140989944
190,211,they,3k,1078.0,3.0330214446829107,0.9477089318530347,4.878935,1.87,1.951574,5819.0,5999.0,6632.0,they,4102.941176470588,1078.0,3.0330214446829107,0.9477089318530347,8.195916261485621,8.195916261485621
1181,1297,when,3k,675.0,2.829946695941636,1.1507836805943095,4.239515000000001,1.8,1.6958060000000004,2676.0,3114.0,3651.0,when,2034.0980392156862,675.0,2.829946695941636,1.1507836805943095,8.267257882080084,8.267257882080084
1058,1167,get,3k,331.0,2.5211380837040362,1.4595922928319092,3.17,1.29,1.268,3482.0,2259.0,1973.0,get,4583.764705882353,331.0,2.5211380837040362,1.4595922928319092,8.278573024911683,8.278573024911683
1543,1692,house,3k,310.0,2.4927603890268375,1.487969987509108,3.16,1.07,1.264,1821.0,1217.0,1032.0,house,514.0,310.0,2.4927603890268375,1.487969987509108,8.367894956281878,8.367894956281878
2742,3492,day,lcnl,376.0,2.576341350205793,1.4043890263301524,3.5,1.58,1.4,1977.0,1582.0,1439.0,day,801.8235294117648,376.0,2.576341350205793,1.4043890263301524,8.415361592155534,8.415361592155534
287,322,that,3k,1383.0,3.141136090120739,0.8395942864152066,5.529012000000002,2.06,2.2116048000000004,6087.0,6786.0,8610.0,that,14111.313725490196,1383.0,3.141136090120739,0.8395942864152066,8.467592002453225,8.467592002453225
1277,1400,her,3k,1026.0,3.0115704435972783,0.969159932938667,5.092075,2.45,2.03683,4345.0,4828.0,5016.0,her,2835.823529411765,1026.0,3.0115704435972783,0.9691599329386671,8.484134765285335,8.484134765285335
1528,1676,good,3k,366.0,2.5646660642520893,1.416064312283856,3.55,1.61,1.42,1989.0,1342.0,1322.0,good,2610.1372549019607,366.0,2.5646660642520893,1.416064312283856,8.506225092993496,8.506225092993496
1273,1395,your,3k,510.0,2.708420900134713,1.2723094764012326,4.100974000000001,1.92,1.6403896000000002,2554.0,2406.0,2815.0,your,6445.392156862745,510.0,2.708420900134713,1.2723094764012326,8.554057167404315,8.554057167404315
309,345,dog,3k,211.0,2.326335860928751,1.6543945156071942,2.8,1.2,1.12,1241.0,566.0,397.0,dog,192.84313725490196,211.0,2.326335860928751,1.6543945156071942,8.59038080462518,8.59038080462518
1094,1206,come,3k,287.0,2.459392487759231,1.5213378887767144,3.32,1.42,1.3279999999999998,2052.0,1374.0,1231.0,#N/A,#N/A,287.0,2.459392487759231,1.5213378887767144,8.644682610718501,8.644682610718501
3111,5393,so,lcnl,892.0,2.9508514588885464,1.029878917647399,5.14536,1.85,2.058144,2778.0,2683.0,2882.0,so,4244.156862745098,892.0,2.9508514588885464,1.029878917647399,8.749936211765897,8.749936211765897
795,878,can,3k,507.0,2.7058637122839193,1.274866664252026,4.32,2.26,1.7280000000000002,5068.0,2608.0,2656.0,can,5247.450980392156,507.0,2.7058637122839193,1.274866664252026,8.782033324882091,8.782033324882091
2606,2850,old,3k,326.0,2.514547752660286,1.4661826238756595,3.72,1.36,1.4880000000000002,1100.0,1121.0,1050.0,old,608.9411764705883,326.0,2.514547752660286,1.4661826238756595,8.851639183564808,8.851639183564808
2303,2522,who,3k,337.0,2.5289167002776547,1.4518136762582907,3.8132349999999997,1.41,1.525294,1086.0,1133.0,1457.0,who,2222.9411764705883,337.0,2.5289167002776547,1.4518136762582907,8.894582866904017,8.894582866904017
509,573,night,3k,274.0,2.439332693830263,1.5413976827056826,3.61,1.88,1.444,716.0,718.0,653.0,night,866.0392156862745,274.0,2.439332693830263,1.5413976827056826,9.004891889469889,9.004891889469889
2274,2491,bed,3k,165.0,2.220108088040055,1.7606222884958904,2.89,1.41,1.156,675.0,405.0,316.0,bed,187.11764705882354,165.0,2.220108088040055,1.7606222884958904,9.052178009735616,9.052178009735616
2579,2821,eat,3k,150.0,2.1789769472931693,1.8017534292427761,2.78,1.48,1.112,1051.0,585.0,499.0,eat,251.88235294117646,150.0,2.1789769472931693,1.8017534292427761,9.086137002349716,9.086137002349716
379,427,here,3k,282.0,2.45178643552429,1.5289439410116552,3.738636,1.94,1.4954544,2267.0,1324.0,1140.0,here,4525.254901960784,282.0,2.45178643552429,1.5289439410116552,9.089939793540793,9.089939793540793
837,926,man,3k,185.0,2.2695129442179165,1.711217432318029,3.11,1.24,1.244,1981.0,1314.0,977.0,man,1845.7450980392157,185.0,2.2695129442179165,1.711217432318029,9.0992610131131,9.0992610131131
2660,2966,be,lcnl,674.0,2.829303772831025,1.1514266037049206,5.11,3.23,2.044,3366.0,3618.0,4161.0,be,5746.764705882353,674.0,2.829303772831025,1.1514266037049206,9.139993112967222,9.139993112967222
