word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale
hill,66,4.189654742,5.429068245
honey,66,4.189654742,5.429068245
maybe,66,4.189654742,5.429068245
ask,65,4.17438727,5.445725124
hand,65,4.17438727,5.445725124
mouth,65,4.17438727,5.445725124
owl,65,4.17438727,5.445725124
poor,65,4.17438727,5.445725124
slow,65,4.17438727,5.445725124
christopher,64,4.158883083,5.46264026
isn't,64,4.158883083,5.46264026
its,64,4.158883083,5.46264026
llama,64,4.158883083,5.46264026
need,64,4.158883083,5.46264026
po,64,4.158883083,5.46264026
pulled,64,4.158883083,5.46264026
voice,64,4.158883083,5.46264026
brother,63,4.143134726,5.479821787
hello,62,4.127134385,5.49727823
sheep,62,4.127134385,5.49727823
almost,61,4.110873864,5.515018529
coming,61,4.110873864,5.515018529
face,61,4.110873864,5.515018529
far,61,4.110873864,5.515018529
light,61,4.110873864,5.515018529
loved,61,4.110873864,5.515018529
mary,61,4.110873864,5.515018529
outside,61,4.110873864,5.515018529
beautiful,60,4.094344562,5.533052071
city,60,4.094344562,5.533052071
lot,60,4.094344562,5.533052071
sad,60,4.094344562,5.533052071
shouted,60,4.094344562,5.533052071
stopped,60,4.094344562,5.533052071
child,59,4.077537444,5.551388711
course,59,4.077537444,5.551388711
cow,59,4.077537444,5.551388711
five,59,4.077537444,5.551388711
peter,59,4.077537444,5.551388711
ready,59,4.077537444,5.551388711
sound,59,4.077537444,5.551388711
bread,58,4.060443011,5.570038813
bye,58,4.060443011,5.570038813
cars,58,4.060443011,5.570038813
deep,58,4.060443011,5.570038813
doing,58,4.060443011,5.570038813
father,58,4.060443011,5.570038813
feel,58,4.060443011,5.570038813
lived,58,4.060443011,5.570038813
anything,57,4.043051268,5.58901328
climbed,57,4.043051268,5.58901328
days,57,4.043051268,5.58901328
jack,57,4.043051268,5.58901328
jumped,57,4.043051268,5.58901328
lady,57,4.043051268,5.58901328
milk,57,4.043051268,5.58901328
pig,57,4.043051268,5.58901328
watch,57,4.043051268,5.58901328
watched,57,4.043051268,5.58901328
we'll,57,4.043051268,5.58901328
being,56,4.025351691,5.608323597
fine,56,4.025351691,5.608323597
floor,56,4.025351691,5.608323597
he's,56,4.025351691,5.608323597
past,56,4.025351691,5.608323597
asleep,55,4.007333185,5.627981866
flying,55,4.007333185,5.627981866
important,55,4.007333185,5.627981866
lost,55,4.007333185,5.627981866
makes,55,4.007333185,5.627981866
quiet,55,4.007333185,5.627981866
sing,55,4.007333185,5.627981866
wouldn't,55,4.007333185,5.627981866
getting,54,3.988984047,5.648000857
lion,54,3.988984047,5.648000857
opened,54,3.988984047,5.648000857
papa,54,3.988984047,5.648000857
quickly,54,3.988984047,5.648000857
stood,54,3.988984047,5.648000857
we're,54,3.988984047,5.648000857
catch,53,3.970291914,5.668394056
live,53,3.970291914,5.668394056
president,53,3.970291914,5.668394056
running,53,3.970291914,5.668394056
slowly,53,3.970291914,5.668394056
song,53,3.970291914,5.668394056
suddenly,53,3.970291914,5.668394056
what's,53,3.970291914,5.668394056
alone,52,3.951243719,5.689175721
both,52,3.951243719,5.689175721
button,52,3.951243719,5.689175721
ground,52,3.951243719,5.689175721
ladybug,52,3.951243719,5.689175721
till,52,3.951243719,5.689175721
ice,51,3.931825633,5.710360938
reached,51,3.931825633,5.710360938
they're,51,3.931825633,5.710360938
