,word,source,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3
1670,speech,3k,7.0,1.9459101490000001,7.877003467000001,6.22,1.63,2.488,6.0,16.0,20.0
1671,bout,3k,6.0,1.791759469,8.045182537,11.83,2.83,4.732,1.0,2.0,1.0
1672,might,3k,71.0,4.262679877,5.3493975019999995,#N/A,#N/A,#N/A,232.0,403.0,594.0
1673,lath,3k,#N/A,#N/A,#N/A,14.55,3.45,5.82,#N/A,#N/A,#N/A
1674,wry,3k,#N/A,#N/A,#N/A,13.4,3.96,5.36,#N/A,#N/A,#N/A
1675,fool,3k,8.0,2.079441542,7.73132013,7.56,3.05,3.024,33.0,44.0,37.0
1676,good,3k,366.0,5.902633333,3.5602010660000003,3.55,1.61,1.42,1989.0,1342.0,1322.0
1677,food,3k,69.0,4.234106505,5.380571177,3.25,1.21,1.3,454.0,529.0,663.0
1678,goon,3k,#N/A,#N/A,#N/A,10.33,3.46,4.132,#N/A,#N/A,#N/A
1679,blight,3k,#N/A,#N/A,#N/A,11.73,2.89,4.692,0.0,0.0,0.0
1680,rank,3k,1.0,0.0,10.0,9.42,2.04,3.768,0.0,0.0,1.0
1681,foot,3k,38.0,3.63758616,6.031377497,3.44,1.38,1.376,152.0,134.0,140.0
1682,rant,3k,#N/A,#N/A,#N/A,9.22,3.06,3.688,#N/A,#N/A,#N/A
1683,drake,3k,6.0,1.791759469,8.045182537,12.07,4.12,4.828,0.0,2.0,2.0
1684,bless,3k,7.0,1.9459101490000001,7.877003467000001,5.33,1.81,2.132,1.0,2.0,5.0
1685,tear,3k,1.0,0.0,10.0,4.89,1.97,1.956,21.0,18.0,20.0
1686,blest,3k,1.0,0.0,10.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1687,found,3k,124.0,4.820281566,4.741051606,5.14536,1.96,2.058144,533.0,535.0,632.0
1688,clamp,3k,#N/A,#N/A,#N/A,10.89,4.43,4.356,#N/A,#N/A,#N/A
1689,harm,3k,13.0,2.5649493569999997,7.201628967,5.0,1.41,2.0,17.0,28.0,30.0
1690,hark,3k,5.0,1.609437912,8.244096157000001,10.47,4.96,4.188000000000001,#N/A,#N/A,#N/A
